Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level,Emission_Index
Motorcycle,Electric,2.747608618006285,22,291288,49.0832545097578,1.887738440432738,Highway,Moderate,13.880458408962614,52.8839051497057,18.938861084325666,955.41164196635,285.3333005236926,0.5357917412537939,0.0887808142988145,0.105211601500389,0.0285073358429706,Low,0.0597001205782671
Bus,Electric,5.743714393331564,3,188398,23.46031082358643,3.544147218551127,City,Heavy,19.1369465707393,5.697342689982731,14.716525907862016,1035.763061721762,212.1225974259237,0.7698890017766583,0.1608448143271775,0.1130819940426693,0.1619833793520053,Low,0.0543723655710739
Bus,Hybrid,4.606368497419306,17,281451,115.50835048531587,4.646885549371895,Highway,Free flow,8.123428467702528,3.953116010747937,18.644522273598795,976.2070644332192,1988.4350997109248,5.93614056377974,0.2792577757148247,1.6357821530689625,0.3261019139755334,High,0.469949691884605
Truck,Electric,3.91302411782459,4,151321,18.54021737943641,3.581003892767884,Rural,Heavy,35.994893461939824,0.5096780814540902,11.951859204515054,966.919462347626,150.65371040682749,1.0451593826792134,0.2169890300600488,0.1796970479519481,0.160651554175418,Low,0.0502697252276098
Truck,Hybrid,1.61129693030067,15,91810,109.59656579505317,3.879302876896984,Highway,Moderate,14.7934806541309,52.45088434188985,2.761138225824185,953.2293507469886,722.6508390996614,6.048133506554353,0.025248241690052922,1.6742029897179402,0.0356631804427734,Medium,0.2095112988812895
Car,Petrol,1.611171505748254,13,72131,51.41677177878984,3.7538962107939935,City,Moderate,11.186252005922778,46.3815603969166,13.508542128904466,1033.4073099043271,849.1543523000497,4.941332848261157,0.08022715452284439,1.2284550890344024,0.09106931493085554,Medium,0.2181227956252943
Car,Petrol,1.102034783274637,26,169449,45.343918987406646,1.604893029918624,City,Free flow,-7.591601582425847,94.0460193556391,4.029823213137034,956.0115290875724,1798.6076639070543,1.9440873675330008,0.12428069182347014,0.817787962147648,0.10271596081722316,Medium,0.3610720736694414
Car,Hybrid,5.304115958029663,26,296695,27.75837610858186,3.7846521659112393,Highway,Moderate,19.95075410664419,34.2306315858101,6.919371833354717,1045.443041581739,2012.5689040291584,4.70519053837453,0.2883792518925238,0.604546294022189,0.3972619081306416,High,0.4559977477903784
Car,Electric,3.925798061064686,18,90214,76.29076012410229,3.922603801099008,City,Moderate,20.143446803335927,65.82273955313505,10.192358676258042,1006.4842016085272,115.16781487833094,0.7670102600573114,0.0717832523400532,0.266331936623493,0.1065509050833479,Low,0.0300193955033209
Bus,Electric,4.481977404539436,13,38599,82.26336180130036,2.667001603252564,Highway,Heavy,19.16448150153515,0.7563414640607391,3.1473196412340143,1019.8683184927156,67.7901178022219,1.2768186907290944,0.2388890910264308,0.257012331257252,0.0462267021186812,Low,0.038652895571726
Motorcycle,Electric,0.9070393703381728,8,229417,56.108515470290094,2.683781193334082,Rural,Moderate,34.379845880411025,66.35384458002301,0.4156276569889661,1022.5310422056684,197.1083365280016,1.279600879777571,0.1399122162706798,0.2233032339934787,0.0319783036895289,Low,0.0559881500461094
Truck,Petrol,5.843531231242371,5,109490,6.684827483210896,3.798604015312419,Rural,Heavy,28.1450416294645,91.34600240269116,6.541718797413965,979.2684488765526,1046.6818819108084,7.7816688741920546,0.06823486700971497,0.4558699754058866,0.2450652472278213,Medium,0.286922552702642
Truck,Petrol,5.128701732162193,16,22593,110.221218082626,4.085154311122038,City,Free flow,33.37028097962134,35.47679566650578,16.48631538176904,1030.6458347909677,561.2146939183658,11.789897813527428,0.5548539529392472,2.400210524347075,0.7965407857893715,Medium,0.2936745156865037
Motorcycle,Hybrid,1.904163375527036,18,225472,117.63949594516572,1.685977210153352,Highway,Free flow,-7.028872154503465,31.40571017836256,0.3075992241654424,1044.624067602514,1565.515075306963,3.3864884173075387,0.09199928452269522,1.5390720747266848,0.1204988967900984,Medium,0.337323126925007
Truck,Diesel,1.7454898294769232,11,109865,51.725209825420194,4.007811087876453,Rural,Heavy,5.906321612742097,62.602986487255,2.188678663892269,986.985110962496,1244.914986507671,5.850758313236865,0.09720557761011663,1.265777804945265,0.0685765374503942,Medium,0.3043520001109764
Truck,Petrol,1.7537034512378558,3,173708,73.63929688911927,4.071045033377056,Highway,Heavy,5.935597184735235,32.85520654574863,16.137097134734365,1033.5349390644085,1719.484431098104,5.430745728705317,0.1340092360482184,1.5842387452680438,0.2939644401790875,High,0.3911035594875167
Motorcycle,Petrol,2.3820596633895965,15,187031,54.03583514924961,1.1706282045928966,Rural,Moderate,22.852252888431,40.24183754765112,6.117034059000483,1027.2039815310814,1641.7118337320246,6.488904397408998,0.1216013844707055,1.2307526613794908,0.3329869449956761,High,0.3974634037683071
Car,Electric,3.528733444487637,24,216989,38.62555810633447,3.58475372658358,Rural,Free flow,12.43075243522551,27.31165408632873,18.76427028961965,1008.9595872064054,196.94588941444863,0.8752414525975942,0.0479636978900186,0.2215081451542123,0.1116466880885273,Low,0.0449666731477236
Car,Hybrid,3.046114096939002,10,229701,9.278255142936915,0.9326696091807918,Rural,Moderate,28.87363016260209,34.48892062789355,7.604882859845965,986.761597798292,1363.3766824750749,4.123627729689077,0.2511871698619295,0.4405073221246218,0.4178274346013248,Medium,0.3223238608948702
Truck,Petrol,2.314391529029818,21,132192,54.72812764767586,0.4652455649406462,Highway,Free flow,9.221528332784736,67.94106124311277,15.934078581688986,991.5185293862578,1326.5898875056923,5.263022471387181,0.04353081595772631,1.1492898206665405,0.020882049307529765,Medium,0.3123429227169136
Motorcycle,Petrol,3.981635052556373,3,43638,98.2061467631342,2.872715060251138,Highway,Moderate,1.080378865620439,92.23751864261848,5.1757968252430935,980.7608519208906,658.9868288645929,6.845524737526939,0.024179265764707955,1.979170338896597,0.11350750866322941,Medium,0.2081624457438802
Motorcycle,Diesel,1.5253680753906176,16,170134,2.043775330560429,4.543260993916995,Rural,Heavy,4.547553414713921,58.31154757159667,1.2366247683101397,992.62704807672,1780.8721744497411,3.064179065440245,0.13340536221344254,0.3365281604625203,0.037099991629058734,Medium,0.3687225791212596
Motorcycle,Petrol,2.3191521723831343,7,267337,69.85292198162668,0.1772951176288162,Highway,Free flow,-0.876513692459282,1.0033448928329691,17.63108971428502,1048.962691832148,2574.3601556161607,4.235065728637788,0.0808445819664026,1.337207211012733,0.1566807737448076,High,0.5447655676644602
Truck,Petrol,2.705081585127197,13,15213,105.69265304720268,4.132508187974608,Rural,Free flow,-0.1053654118549989,26.38925617987634,18.54592951299152,986.341476974584,322.1963416396105,6.241324982752412,0.020929488920133285,2.054816632766911,0.5914785374382029,Low,0.1373090647762042
Bus,Electric,3.171563917928588,26,254286,26.10593160172296,2.532356053517533,Rural,Moderate,0.8419457715325738,95.22385286524496,14.161993159784366,1016.5509753550556,218.6022078146924,0.7176110170885177,0.05800181399065307,0.20716830825703,0.0034279786698674557,Low,0.0431924699199929
Car,Electric,4.882914999243671,1,244987,21.990703762687463,4.30447724360615,City,Free flow,-9.195264424638774,91.03217638301032,15.401356471922906,981.9606433314478,267.07097945285113,0.8699424953837891,0.0412209953527631,0.1506562797995368,0.03360591443687805,Low,0.0568882445740936
Motorcycle,Diesel,1.8383036672234707,10,215031,92.67319508423316,4.217384675855234,Rural,Heavy,25.804401738127275,11.564723960055211,0.1425524018380142,996.6647735688944,2381.3199581654862,11.399078133912749,0.9249109019206008,2.622572422574328,0.8843338431457943,High,0.6629415917936841
Bus,Electric,3.4740190797507804,10,148259,30.6103717343152,4.376434024081443,Highway,Moderate,9.980117113556776,90.84170630673276,15.076470353196116,958.3773998413347,155.38204197621172,0.6055850239320579,0.09709846270237353,0.0525096520496782,0.1072546809748728,Low,0.0291062306530939
Truck,Petrol,3.880555758082621,23,141112,23.03811210727781,3.844369774033367,City,Moderate,-8.866433405908555,96.45290230389205,9.44392773777654,1026.3234235895643,1555.7643038907268,1.5622028698500667,0.04453780673661691,0.5090110280613973,0.13885166065698437,Medium,0.3088951868123279
Truck,Petrol,1.0415421461439882,21,197374,45.358710068308206,4.214961772734974,Rural,Free flow,8.500377223292013,32.45718957603398,9.055809092285156,1016.1024447234536,1687.741806437167,4.371912795628881,0.0418386270608173,0.9899590337999368,0.015470117315458118,Medium,0.3726445829160859
Motorcycle,Diesel,3.95923322988748,23,29949,47.10024147242616,0.8801260360060181,Rural,Heavy,35.2684063557706,70.10068094032675,10.801398409408424,984.7485008150012,503.61350502827577,11.323596515893776,0.0648600595943297,1.5750384150678052,0.6060757430992816,Medium,0.237418798625742
Car,Diesel,1.686725443173916,5,243072,104.89212756198792,1.5192657443747082,City,Moderate,15.56221584837224,55.99824155136297,5.4242043241909865,1002.4844682163884,3294.3005156895456,9.707096444426083,0.0752434368836745,2.7050222881046406,0.05735636027247387,High,0.7466630521856016
Motorcycle,Hybrid,1.1382682835234537,20,248066,74.21321663204122,1.212430854036482,Highway,Free flow,39.33760056731753,33.70496585507789,13.925771096218044,1037.2221836029091,1663.354421201772,6.862596323202146,0.4157933438564096,1.3851470491861348,0.529999107742409,High,0.4286644223219479
Bus,Electric,5.734204793717333,20,214480,48.71537476075072,3.712141518640302,City,Moderate,16.997971593902808,15.333578091852008,5.911777440540156,954.443271566106,235.38057687204892,0.7719444439832941,0.1524244607084123,0.1627593673155571,0.0478854149374268,Low,0.0579122219579139
Bus,Petrol,5.8212865719877085,13,208366,64.12655571429202,0.7682155968356796,City,Heavy,38.1399499525532,36.69202241054469,11.172132759347605,1043.0216496747728,2352.223262611517,10.127889124893228,0.5757822141794835,1.5850801929081784,0.8994297859561484,High,0.6125521709356847
Truck,Electric,5.003666210205598,29,287556,114.4758279990329,0.9111389518889428,City,Free flow,0.0900364402206346,92.77965714385124,2.7385445762306992,997.079960247238,314.2452615887826,0.7268180012953576,0.1407161465999841,0.303000927954081,0.3534272680725146,Low,0.0619417935786576
Car,Hybrid,2.3839915997015275,9,145384,13.585761193187444,4.394823603609713,Rural,Heavy,4.496740635968381,81.12483755733463,13.50151270233602,1035.965540550653,886.7636955653512,2.15132922407982,0.0809733556095754,0.3061582793731505,0.14436011571278215,Medium,0.1877359382459267
Motorcycle,Electric,1.3078949928331962,25,142876,24.925862606962973,3.5294109645641907,City,Free flow,24.998505508988067,33.06745306429044,3.792255291099309,1036.1482924696038,140.8682131965116,0.6802366722899336,0.1357070584566883,0.222646133826301,0.037782637213339,Low,0.0378977459581805
Motorcycle,Hybrid,4.358011737863216,26,185058,115.50344479038664,4.376899889595434,Highway,Free flow,39.34108084997233,54.767535201082,3.408279714961717,955.871227680224,1362.323184560311,9.344721663901272,0.4231535466461,1.8548364250543183,0.5047555831171132,High,0.4035623813984197
Bus,Diesel,3.0887929674459267,7,46545,114.8789818232645,0.6967762913034525,City,Free flow,31.2648705509688,40.59616787095814,0.4856632473873334,1028.159457189424,923.1036200879156,13.865015981451783,0.3421551426394406,3.0582822024449805,0.7277042875594136,High,0.3747740416727708
Bus,Petrol,1.43459882119285,6,161071,21.259850551772715,1.994902022806512,Rural,Heavy,17.685263833787555,46.62378479928111,2.435715515396293,1023.286738609318,1379.040456323629,4.559073059179731,0.2573035110170457,0.7087615771852221,0.0430502089773539,Medium,0.312060921263017
Bus,Petrol,3.374919932578605,7,3768,17.413058055035787,1.415755850381588,Highway,Free flow,-5.742369282054235,76.12106860055017,4.651404901578655,954.319354700476,159.97864645284795,1.6037426115372848,0.013409798112573635,0.3836517509402541,0.5293897153313056,Low,0.0434152520791498
Truck,Electric,0.9788203097991356,27,263648,50.53021612063438,0.0484054263982475,Highway,Heavy,8.218955499989697,54.30062009508604,4.446187213788521,1044.0537870356502,251.2919775274566,0.482712027677736,0.027941195743689473,0.1575616223258562,0.1245222128921289,Low,0.0469724908059539
Truck,Petrol,5.528466090809666,7,8002,5.966195098556293,1.422614802193534,Rural,Moderate,-5.6787149701704696,18.10444634117916,6.55342858556665,1013.4548236053474,215.4394727688414,2.119994919819947,0.032440279789989084,0.1787391315670393,0.0516148102989447,Low,0.0593658645757421
Truck,Hybrid,2.145655904320088,22,75427,78.58842387421682,1.8979162598893973,City,Heavy,5.564068093325222,26.903562780453903,1.0883283615423966,966.753400860998,649.3610951650552,3.547452740608732,0.05852629118904923,1.1063724467020175,0.03907592783315652,Medium,0.1629927928918033
Motorcycle,Hybrid,4.245115878640706,1,13898,9.299522599409062,0.4610981862135593,City,Heavy,2.939605033266228,56.77938618776023,18.70396037039867,962.309719437054,198.0723461692627,2.038198130321414,0.02473825448031965,0.2469023780642466,0.10958731223853035,Low,0.0551705581266162
Car,Diesel,2.420897595664937,26,80800,6.963555251313687,2.832437789134099,City,Free flow,9.42776483183592,69.28195599291995,2.383517586953694,1006.1972992347422,1111.0111512672015,4.21400424463766,0.07762610784554601,0.4763190838083191,0.45644030016918374,Medium,0.2556911722377976
Truck,Electric,3.504353710124616,15,214299,58.222432345061904,1.9158633123631656,City,Moderate,31.86382949949595,50.81204273825792,14.0392775792401,955.883426446981,244.46305106690772,1.128528035947912,0.0851804930170791,0.1781774641192949,0.1006437813477051,Low,0.0594060320313826
Motorcycle,Hybrid,3.642893452585055,8,126718,114.93439633321218,0.2323083113877272,Rural,Moderate,-2.4811664344809934,62.02105323411951,10.701463396990684,966.4409694739976,891.6316140617945,4.353954651622474,0.054801602968790934,1.458850579912624,0.1190673829600859,Medium,0.220314211190913
Motorcycle,Diesel,1.7612431687327406,12,33743,51.21551232757915,3.519894324339884,Highway,Free flow,5.303197442680377,78.93769515754798,11.055776098282896,1044.845220557531,526.6180339251677,5.500473774587131,0.008531691909364881,1.393670117694316,0.018899475691340394,Medium,0.1642292312551803
